trigger,replacement
aa,abdominal aorta
aaw,anterior abdominal wall
abd,abdominal
abdly,abdominal lymphadenopathy
abdp,abdomen and pelvis
abn,abnormal
abs,anterobasal segment
abu,abutting
abut,abutment
ac,aortocaval
aca,anterior cerebral artery
acj,acromio-clavicular joint
acl,anterior cruciate ligament
acom,anterior communicating artery
ada,as described above
adb,asymmetric disc bulge
adem,acute disseminated encephalomyelitis
adenoca,adenocarcinoma
adj,adjacent
adpkd,autosomal dominant polycystic kidney disease
adv,Advice:
af,arising from
ag,adrenal gland
aib,air bronchograms
ainf,anteroinferior
alat,anterolateral
allg,anterior longitudinal ligament
ambs,antero medial basal segment
amed,anteromedial
amt,amount
ant,anterior
anty,anteriorly
aoa,arch of aorta
ap,anteroposterior
apos,apicoposterior segment
approx,approximately
apw,aortopulmonary window
art,artery
asc,ascending
asd,anterior sectoral duct
asp,aspect
asup,anterosuperior
asym,asymmetric
ata,anterior tibial artery
atc,(AP x Tra x CC)
atel,atelectasis
ath,atherosclerotic
atha,Atherosclerotic changes are noted in the aorta and its branches
athp,atherosclerotic plaque
atl,atelectasis
ats,anterior thecal sac
atsl,at the same level
att,attenuating
attn,attenuation
atv,anterior tibial vein
awa,as well as
bct,brachiocephalic trunk
ben,benign
benp,benign pathology
bg,basal ganglia
bif,bifurcation
bl,bilateral
blf,bilateral lung fields
blk,bilateral kidneys
bll,bilateral lower lobes
bm,bone marrow
br,branch
broc,bronchiectatic changes
bul,bilateral upper lobes
bw,between
c12,C1-C2
c23,C2-C3
c34,C3-C4
c45,C4-C5
c56,C5-C6
c67,C6-C7
c71,C7-D1
ca,carcinoma
calc,calcification
cald,calcified
cali,calculi
cals,calculus
cap,calcified atherosclerotic plaques
carme,cardiomegaly
carmeg,Cardiac size is enlarged with cardiothoracic ratio of
cau,causing
cbd,common bile duct
cca,common carotid artery
ccca,craniocaudal axis
cde,central disc extrusion
cdl,choledocholithiasis
cdp,central disc protrusion
cea,cerebral atrophy
ceat,"There is volume loss of bilateral cerebral hemispheres with prominent sulci, extraaxial CSF spaces & proportionate dilatation of ventricles"
ceh,cerebellar hemisphere
cf,calcific focus
cfa,common femoral artery
cfi,calcific foci
cfv,common femoral vein
cg,calcified granuloma
ch,cerebral hemisphere
cha,changes
chd,common hepatic duct
chea,common hepatic artery
chemo,chemotherapy
cholangioca,cholangiocarcinoma
chr,chronic
cia,common iliac artery
cir,circumscribed
circ,circumferential
civ,common iliac vein
ckd,chronic kidney disease
cl,cholelithiasis
cld,chronic liver disease
cn,centrilobular nodules
cnap,calcified and non-calcified atherosclerotic plaques
cnl,contralateral
cnt,centrilobular nodules with tree in bud pattern
cocon,collapse consolidation
col,collection
coll,collaterals
com,complete
comm,communication
comp,compression
conso,consolidation
cor,coronal
